Character	Name	LastName	Level	Class	Race	Gender	Deity	Guild	GuildRank	BaseSTR	BaseSTA	BaseCHA	BaseDEX	BaseINT	BaseAGI	BaseWIS
Character	Gabbiz		60	7	128	0	203	Dungeons and Dragons	0	75	95	55	95	75	100	80
Location	Name	ID	Count	Slots
Ear	Hoop of Chaos	28939	1	0
Head	Crown of the Kromzek Kings	25194	1	0
Face	Silver Mask of the Slayer	31464	1	0
Ear	Earring of Falling Stars	28962	1	0
Neck	Talisman of Vah Kerrath	8364	1	0
Shoulders	Shroud of Patience	28895	1	0
Arms	Mark of Shadows	26769	1	0
Back	Cloak of Destruction	28979	1	0
Wrist	Spirit Wracked Cord	5723	1	0
Wrist	Silver Bracelet of Speed	31461	1	0
Range	Crystallized Serpent Eye	30565	1	0
Hands	Dark Hand Wraps	28949	1	0
Primary	Caen's Bo Staff of Fury	26599	1	0
Secondary	Empty	0	0	0
Fingers	Ring of Rage	28884	1	0
Fingers	Ring of Dain Frostreaver IV	30385	1	0
Chest	Shroud of Longevity	1137	1	0
Legs	Leg Guard of Shadows	26772	1	0
Feet	Envenomed Moccasins	30569	1	0
Waist	Belt of Dwarf Slaying	25858	1	0
Ammo	Shissar Fangs	32531	18	0
General1	Treasure Hunter`s Satchel	17702	1	10
General1-Slot1	10 Dose Cloudy Potion	19078	10	0
General1-Slot2	Shissar Fangs	32531	20	0
General1-Slot3	Holgresh Elder Beads	24890	1	0
General1-Slot4	Shik`nar Eye	28734	20	0
General1-Slot5	Celestial Fists	10652	1	0
General1-Slot6	Plate of Chitin	28733	20	0
General1-Slot7	Yttrium Studded Leather Boots	7871	1	0
General1-Slot8	A Glowing Black Stone	10404	1	0
General1-Slot9	Primal Velium Brawl Stick	27324	1	0
General1-Slot10	Ruby	10035	4	0
General2	Kavruul`s Mystic Pouch	17701	1	10
General2-Slot1	Shuriken of the Tranquil	8332	3	0
General2-Slot2	Fishbone Earring	10313	1	0
General2-Slot3	Shissar Fangs	32531	20	0
General2-Slot4	Shissar Fangs	32531	20	0
General2-Slot5	Shiknar Ichor	22912	2	0
General2-Slot6	Spell: Words of Tranquility	7687	1	0
General2-Slot7	Journeyman's Boots	2300	1	0
General2-Slot8	Wand of Imperceptibility	19725	1	0
General2-Slot9	Journeyman's Walking Stick	6618	1	0
General2-Slot10	Plate of Chitin	28733	20	0
General3	Bag of the Tinkerers	17403	1	10
General3-Slot1	Antonian Javelin	21518	13	0
General3-Slot2	Plate of Chitin	28733	20	0
General3-Slot3	Shik`nar Eye	28734	20	0
General3-Slot4	Plate of Chitin	28733	20	0
General3-Slot5	Vial of Velium Vapors	1553	1	0
General3-Slot6	Small Manisi Plant	2688	1	0
General3-Slot7	Pegasus Feather Cloak	2463	1	0
General3-Slot8	Softly Glowing Lantern	8209	10	0
General3-Slot9	Centi Steaks	30190	13	0
General3-Slot10	Plate of Chitin	28733	20	0
General4	Bag of the Tinkerers	32619	1	8
General4-Slot1	Plate of Chitin	28733	20	0
General4-Slot2	A Dusty Soriz Worker pouch	8200	1	0
General4-Slot3	Guise of the Deceiver	2469	1	0
General4-Slot4	Worker Sledgemallet	12863	1	0
General4-Slot5	Fuzzlecutter Formula 5000	12260	14	0
General4-Slot6	Fuzzlecutter Formula 5000	12260	20	0
General4-Slot7	Iron Ration	13005	8	0
General4-Slot8	Howling Orb	28913	1	0
General5	Larrikan's Mask	2736	4	0
