Character	Name	LastName	Level	Class	Race	Gender	Deity	Guild	GuildRank	BaseSTR	BaseSTA	BaseCHA	BaseDEX	BaseINT	BaseAGI	BaseWIS
Character	Razko		60	12	6	0	213	Dungeons and Dragons	0	65	75	60	75	134	90	83
Location	Name	ID	Count	Slots
Ear	Singed Petrified Leaf	30568	1	0
Head	Cap of the Silent Star	28892	1	0
Face	Yttrium Studded Veil	30553	1	0
Ear	Sigil Earring of Veracity	29861	1	0
Neck	Shade Stone Amulet	28901	1	0
Shoulders	Twilight Shroud	28920	1	0
Arms	Armguard of Purity	28924	1	0
Back	Cloak of Frozen Flames	28964	1	0
Wrist	Glowing Amber Band	30552	1	0
Wrist	Ssraeshzaen Honor Guard Bracer	26552	1	0
Range	Nocnivin's Small Book of Logic	30562	1	0
Hands	Circle of Smoke	30534	1	0
Primary	Dagger of Thought	28917	1	0
Secondary	Book of Contemplation	28915	1	0
Fingers	Umbracite Hoop	28944	1	0
Fingers	Ring of Flamewarding	28905	1	0
Chest	Bile Drenched Flesh Robe	8497	1	0
Legs	Yttrium Wrapped Leggings	8289	1	0
Feet	Boots of the Wind	28934	1	0
Waist	Ssraeshzaen Blood Cord	26549	1	0
Ammo	Brown Rope Bridle	21815	1	0
General1	Shralok Pack	17401	1	8
General1-Slot1	Empty	0	0	0
General1-Slot2	Peridot	10028	20	0
General1-Slot3	Bat Wing	13068	20	0
General1-Slot4	Empty	0	0	0
General1-Slot5	Empty	0	0	0
General1-Slot6	Empty	0	0	0
General1-Slot7	Empty	0	0	0
General1-Slot8	Empty	0	0	0
General2	Light Burlap Sack	17353	1	8
General2-Slot1	Star of Eyes	14361	1	0
General2-Slot2	Peridot	10028	20	0
General2-Slot3	Empty	0	0	0
General2-Slot4	Fish Rolls	13475	19	0
General2-Slot5	Empty	0	0	0
General2-Slot6	Empty	0	0	0
General2-Slot7	Empty	0	0	0
General2-Slot8	Empty	0	0	0
General3	Deluxe Toolbox	17877	1	10
General3-Slot1	Orc Scalp	13791	18	0
General3-Slot2	Empty	0	0	0
General3-Slot3	Jade Shard	11790	1	0
General3-Slot4	Empty	0	0	0
General3-Slot5	Arx Key	3650	1	0
General3-Slot6	Empty	0	0	0
General3-Slot7	Ruby	10035	2	0
General3-Slot8	Fish Rolls	13475	15	0
General3-Slot9	Empty	0	0	0
General3-Slot10	Water Flask	13006	5	0
General4	Shiny Brass Halberd	5361	1	0
General5	Bag of Sewn Evil-Eye	17354	1	8
General5-Slot1	Sage's Boots	31062	1	0
General5-Slot2	Leatherfoot Raider Skullcap	12259	1	0
General5-Slot3	Manarock	2970	1	0
General5-Slot4	Jade Skull Ring	7826	1	0
General5-Slot5	Phase Spider Blood	26028	1	0
General5-Slot6	Eye of Innoruuk	20656	1	0
General5-Slot7	Empty	0	0	0
General5-Slot8	Fishbone Earring	10313	1	0
General6	Shralok Pack	17401	1	8
General6-Slot1	Empty	0	0	0
General6-Slot2	Crystallized Pumice	14524	5	0
General6-Slot3	Crimson Potion	14518	1	0
General6-Slot4	10 Dose Cloudy Potion	19078	10	0
General6-Slot5	Holgresh Elder Beads	24890	1	0
General6-Slot6	10 Dose Blood of the Wolf	14534	9	0
General6-Slot7	10 Dose Potion of Unlife Awareness	14545	1	0
General6-Slot8	Crimson Potion	14518	1	0
General7	Box of Abu-Kar	11703	1	10
General7-Slot1	Fungus Covered Great Stick	10895	1	0
General7-Slot2	Yttrium Studded Leather Boots	7871	1	0
General7-Slot3	Staff of the Four	14341	1	0
General7-Slot4	Sorcerers Robe	25508	1	0
General7-Slot5	Earring of the Frozen Skull	1744	4	0
General7-Slot6	Staff of Temperate Flux	6342	1	0
General7-Slot7	Shield of Infused Power	28818	1	0
General7-Slot8	Journeyman's Boots	2300	1	0
General7-Slot9	Mindpuncture	28821	1	0
General7-Slot10	Flowing Gossamer Cloak	30540	1	0
General8	Shralok Pack	17401	1	8
General8-Slot1	Empty	0	0	0
General8-Slot2	Empty	0	0	0
General8-Slot3	Empty	0	0	0
General8-Slot4	Empty	0	0	0
General8-Slot5	Empty	0	0	0
General8-Slot6	Empty	0	0	0
General8-Slot7	Empty	0	0	0
General8-Slot8	Empty	0	0	0
General-Coin	Currency	0	68519	0
Held	Empty	0	0	0
Bank1	Trader's Satchel	17899	1	10
Bank1-Slot1	Frost Giant Meat	22800	20	0
Bank1-Slot2	Wyvern Meat	22808	20	0
Bank1-Slot3	Frost Giant Meat	22800	12	0
Bank1-Slot4	Danl's Reference	1682	1	0
Bank1-Slot5	Snow Bunny Meat	30099	1	0
Bank1-Slot6	Snow Bunny Meat	30099	1	0
Bank1-Slot7	Codex of the Warrior	28071	1	0
Bank1-Slot8	Empty	0	0	0
Bank1-Slot9	Empty	0	0	0
Bank1-Slot10	High Quality Cougarskin	30030	1	0
Bank2	Shralok Pack	17401	1	8
Bank2-Slot1	Empty	0	0	0
Bank2-Slot2	Empty	0	0	0
Bank2-Slot3	Empty	0	0	0
Bank2-Slot4	Empty	0	0	0
Bank2-Slot5	Empty	0	0	0
Bank2-Slot6	Empty	0	0	0
Bank2-Slot7	Empty	0	0	0
Bank2-Slot8	Empty	0	0	0
Bank3	Shralok Pack	17401	1	8
Bank3-Slot1	Empty	0	0	0
Bank3-Slot2	Empty	0	0	0
Bank3-Slot3	Empty	0	0	0
Bank3-Slot4	Empty	0	0	0
Bank3-Slot5	Empty	0	0	0
Bank3-Slot6	Empty	0	0	0
Bank3-Slot7	Empty	0	0	0
Bank3-Slot8	Empty	0	0	0
Bank4	Shralok Pack	17401	1	8
Bank4-Slot1	Empty	0	0	0
Bank4-Slot2	Empty	0	0	0
Bank4-Slot3	Empty	0	0	0
Bank4-Slot4	Empty	0	0	0
Bank4-Slot5	Empty	0	0	0
Bank4-Slot6	Empty	0	0	0
Bank4-Slot7	Empty	0	0	0
Bank4-Slot8	Empty	0	0	0
Bank5	Deluxe Toolbox	17877	1	10
Bank5-Slot1	Empty	0	0	0
Bank5-Slot2	Empty	0	0	0
Bank5-Slot3	Empty	0	0	0
Bank5-Slot4	Empty	0	0	0
Bank5-Slot5	Empty	0	0	0
Bank5-Slot6	Empty	0	0	0
Bank5-Slot7	Chunk of Condensed Shadow	10697	1	0
Bank5-Slot8	Empty	0	0	0
Bank5-Slot9	Empty	0	0	0
Bank5-Slot10	Velium Vial	1561	1	0
Bank6	Trader's Satchel	17899	1	10
Bank6-Slot1	Bear Meat	13404	2	0
Bank6-Slot2	Wolf Meat	13403	11	0
Bank6-Slot3	Wyvern Meat	22808	17	0
Bank6-Slot4	Chunk of Meat	13085	16	0
Bank6-Slot5	Frost Giant Meat	22800	20	0
Bank6-Slot6	Wyvern Meat	22808	20	0
Bank6-Slot7	Kromrif Bones	11655	1	0
Bank6-Slot8	Hilt of the Nobleman	2413	1	0
Bank6-Slot9	Black Wolf Skin	13758	2	0
Bank6-Slot10	Empty	0	0	0
Bank7	Trader's Satchel	17899	1	10
Bank7-Slot1	Arctic Wyvern Hide	28511	16	0
Bank7-Slot2	Torn Parchment	18942	53	0
Bank7-Slot3	Ulthork Meat	30093	19	0
Bank7-Slot4	Ice Wyvern Stinger	25101	1	0
Bank7-Slot5	Wyvern Meat	22808	5	0
Bank7-Slot6	Empty	0	0	0
Bank7-Slot7	Empty	0	0	0
Bank7-Slot8	Empty	0	0	0
Bank7-Slot9	Empty	0	0	0
Bank7-Slot10	Empty	0	0	0
Bank8	Trader's Satchel	17899	1	10
Bank8-Slot1	Piece of a medallion	19956	1	0
Bank8-Slot2	Piece of a medallion	19963	1	0
Bank8-Slot3	Empty	0	0	0
Bank8-Slot4	Empty	0	0	0
Bank8-Slot5	Empty	0	0	0
Bank8-Slot6	Floating Rune	28899	1	0
Bank8-Slot7	Empty	0	0	0
Bank8-Slot8	Carmine Trinket	1228	1	0
