Character	Name	LastName	Level	Class	Race	Gender	Deity	Guild	GuildRank	BaseSTR	BaseSTA	BaseCHA	BaseDEX	BaseINT	BaseAGI	BaseWIS
Character	Sunstrike		60	12	6	1	213	Dungeons and Dragons	0	60	100	60	75	114	90	83
Location	Name	ID	Count	Slots
Ear	Sigil Earring of Veracity	29861	1	0
Head	Cap of the Silent Star	28892	1	0
Face	Blood Veil of the Shissar	26582	1	0
Ear	Umbracite Hoop	28944	1	0
Neck	Shade Stone Amulet	28901	1	0
Shoulders	Shaded Amice	28883	1	0
Arms	Living Symbol	28889	1	0
Back	Gebron's Demented Cloak	8359	1	0
Wrist	Zombie Flesh Bracer	1559	1	0
Wrist	Bracer of the Silent Star	28891	1	0
Range	Scepter of Calekor	28983	1	0
Hands	Silver Skin Gauntlets	28972	1	0
Primary	Stein of Falling Tears	28978	1	0
Secondary	Book of Contemplation	28915	1	0
Fingers	Ring of the Shissar	19719	1	0
Fingers	Ring of Flamewarding	28905	1	0
Chest	Mana Robe	1606	1	0
Legs	Yttrium Wrapped Leggings	8289	1	0
Feet	Boots of the Wind	28934	1	0
Waist	Belt of Dark Thought	28916	1	0
Ammo	Black Silken Bridle	21812	1	0
General1	Box of Abu-Kar	11703	1	10
General1-Slot1	Staff of the Four	14341	1	0
General1-Slot2	Iceshatter	28819	1	0
General1-Slot3	Gargoyle Eye	10014	10	0
General1-Slot4	Owlbear Bone Club	7146	1	0
General1-Slot5	Empty	0	0	0
General1-Slot6	Zlandicar's Heart	26009	1	0
General1-Slot7	Empty	0	0	0
General1-Slot8	Bracelet of the Shadow Hive	28906	1	0
General1-Slot9	Katta Staff of Peace	26525	1	0
General1-Slot10	Manarock	2970	1	0
General2	Deluxe Toolbox	17877	1	10
General2-Slot1	Empty	0	0	0
General2-Slot2	Emerald	10029	1	0
General2-Slot3	Crimson Potion	14518	1	0
General2-Slot4	Crimson Potion	14518	1	0
General2-Slot5	Crimson Potion	14518	1	0
General2-Slot6	Crimson Potion	14518	1	0
General2-Slot7	Crimson Potion	14518	1	0
General2-Slot8	Crimson Potion	14518	1	0
General2-Slot9	Empty	0	0	0
General2-Slot10	Empty	0	0	0
General3	Deluxe Toolbox	17877	1	10
General3-Slot1	Green Flower of Functionality	6816	1	0
General3-Slot2	Black Flower of Functionality	6817	1	0
General3-Slot3	Red Flower of Functionality	6813	1	0
General3-Slot4	White Flower of Functionality	6815	1	0
General3-Slot5	Blue Flower of Functionality	6814	1	0
General3-Slot6	Flowing Gossamer Cloak	30540	1	0
General3-Slot7	Fishbone Earring	10313	1	0
General3-Slot8	Empty	0	0	0
General3-Slot9	Guise of the Deceiver	2469	1	0
General3-Slot10	North Wing Key	28877	1	0
General4	Treasure Hunter`s Satchel	17702	1	10
General4-Slot1	Amulet of Necropotence	11646	1	0
General4-Slot2	Steel Knuckles	30979	1	0
General4-Slot3	Jade Skull Ring	7826	1	0
General4-Slot4	Journeyman's Boots	2300	1	0
