"skill_id","name","cost","max_level","type","spellid","prereq_skill","prereq_minpoints","spell_type","spell_refresh","classes","class_type","cost_inc","aa_expansion","special_category","account_time_required","level_inc","eqmacid"
"2","Innate Strength","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","1"
"7","Innate Stamina","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","2"
"12","Innate Agility","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","3"
"17","Innate Dexterity","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","4"
"22","Innate Intelligence","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","5"
"27","Innate Wisdom","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","6"
"32","Innate Charisma","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","7"
"37","Innate Fire Protection","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","8"
"42","Innate Cold Protection","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","9"
"47","Innate Magic Protection","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","10"
"52","Innate Poison Protection","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","11"
"57","Innate Disease Protection","1","5","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","12"
"62","Innate Run Speed","1","3","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","13"
"65","Innate Regeneration","1","3","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","14"
"68","Innate Metabolism","1","3","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","15"
"71","Innate Lung Capacity","1","3","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","16"
"74","First Aid","1","3","1","4294967295","0","0","0","0","65534","51","0","3","4294967295","0","0","17"
"77","Healing Adept","2","3","2","4294967295","4294967295","0","0","0","33884","55","2","3","4294967295","0","0","18"
"80","Healing Gift","2","3","2","4294967295","4294967295","0","0","0","33884","55","2","3","4294967295","0","0","19"
"83","Spell Casting Mastery","2","3","2","4294967295","4294967295","0","0","0","31812","55","2","3","4294967295","0","0","20"
"86","Spell Casting Reinforcement","2","3","2","4294967295","4294967295","0","0","0","50268","55","2","3","4294967295","0","0","21"
"89","Mental Clarity","2","3","2","4294967295","4294967295","0","0","0","64636","55","2","3","4294967295","0","0","22"
"92","Spell Casting Fury","2","3","2","4294967295","0","0","0","0","64892","55","2","3","4294967295","0","0","23"
"95","Channeling Focus","2","3","2","4294967295","4294967295","0","0","0","64892","55","2","3","4294967295","0","0","24"
"98","Spell Casting Subtlety","2","3","2","0","0","0","0","0","31008","55","2","3","4294967295","0","0","25"
"101","Spell Casting Expertise","2","3","2","4294967295","4294967295","0","0","0","31008","55","2","3","4294967295","0","0","26"
"104","Spell Casting Deftness","2","3","2","4294967295","4294967295","0","0","0","30752","55","2","3","4294967295","0","0","27"
"107","Natural Durability","2","3","2","4294967295","4294967295","0","0","0","65534","55","2","3","4294967295","0","0","28"
"110","Natural Healing","2","3","2","4294967295","4294967295","0","0","0","33722","55","2","3","4294967295","0","0","29"
"113","Combat Fury","2","3","2","4294967295","4294967295","0","0","0","33722","55","2","3","4294967295","0","0","30"
